State,X,Y,Year,NatGasC
CO,2,3,2007,"519,918"
CO,2,3,2008,"514,880"
CO,2,3,2009,"533,677"
CO,2,3,2010,"510,877"
CO,2,3,2011,"481,614"
CO,2,3,2012,"461,056"
CO,2,3,2013,"485,106"
CO,2,3,2014,"501,498"
CO,2,3,2015,"494,922"
CO,2,3,2016,"468,803"
CO,2,3,2017,"466,263"
CT,9,5,1960,"29,449"
CT,9,5,1961,"31,424"
CT,9,5,1962,"33,355"
CT,9,5,1963,"35,575"
CT,9,5,1964,"38,627"
CT,9,5,1965,"41,720"
CT,9,5,1966,"48,744"
CT,9,5,1967,"50,826"
CT,9,5,1968,"54,053"
CT,9,5,1969,"58,405"
CT,9,5,1970,"61,543"
CT,9,5,1971,"62,417"
CT,9,5,1972,"65,032"
CT,9,5,1973,"63,548"
CT,9,5,1974,"67,139"
CT,9,5,1975,"64,331"
CT,9,5,1976,"66,382"
CT,9,5,1977,"64,709"
CT,9,5,1978,"66,038"
CT,9,5,1979,"68,752"
CT,9,5,1980,"74,180"
CT,9,5,1981,"78,750"
CT,9,5,1982,"80,359"
CT,9,5,1983,"76,585"
CT,9,5,1984,"83,491"
CT,9,5,1985,"80,561"
CT,9,5,1986,"81,269"
CT,9,5,1987,"94,690"
CT,9,5,1988,"90,950"
CT,9,5,1989,"102,005"
CT,9,5,1990,"108,957"
CT,9,5,1991,"115,834"
CT,9,5,1992,"126,174"
CT,9,5,1993,"125,889"
CT,9,5,1994,"134,404"
CT,9,5,1995,"144,937"
CT,9,5,1996,"139,151"
CT,9,5,1997,"148,622"
CT,9,5,1998,"134,925"
CT,9,5,1999,"155,902"
CT,9,5,2000,"163,717"
CT,9,5,2001,"149,350"
CT,9,5,2002,"181,671"
CT,9,5,2003,"157,310"
CT,9,5,2004,"166,057"
CT,9,5,2005,"171,429"
CT,9,5,2006,"175,963"
CT,9,5,2007,"183,604"
CT,9,5,2008,"169,802"
CT,9,5,2009,"188,571"
CT,9,5,2010,"203,814"
CT,9,5,2011,"236,016"
CT,9,5,2012,"236,260"
CT,9,5,2013,"240,102"
CT,9,5,2014,"242,227"
CT,9,5,2015,"260,925"
CT,9,5,2016,"254,652"
CT,9,5,2017,"246,334"
DC,8,4,1960,"12,951"
DC,8,4,1961,"13,721"
